"fiscal_year","prior_subject","ms_outcome","n_teachers","teachers_before","rate_pct"
"2015","Middle School English Language Arts","Same MS subject",1889,2627,71.9
"2015","Middle School English Language Arts","Switched within middle school",204,2627,7.8
"2015","Middle School English Language Arts","Moved to secondary",67,2627,2.6
"2015","Middle School English Language Arts","Moved to elementary",96,2627,3.7
"2015","Middle School English Language Arts","Taught a non-core subject",71,2627,2.7
"2015","Middle School English Language Arts","Switcher",86,2627,3.3
"2015","Middle School English Language Arts","Exiter",214,2627,8.1
"2015","Middle School Mathematics","Same MS subject",1627,2288,71.1
"2015","Middle School Mathematics","Switched within middle school",170,2288,7.4
"2015","Middle School Mathematics","Moved to secondary",89,2288,3.9
"2015","Middle School Mathematics","Moved to elementary",69,2288,3
"2015","Middle School Mathematics","Taught a non-core subject",73,2288,3.2
"2015","Middle School Mathematics","Switcher",73,2288,3.2
"2015","Middle School Mathematics","Exiter",187,2288,8.2
"2015","Middle School Science","Same MS subject",1512,2137,70.8
"2015","Middle School Science","Switched within middle school",201,2137,9.4
"2015","Middle School Science","Moved to secondary",63,2137,2.9
"2015","Middle School Science","Moved to elementary",65,2137,3
"2015","Middle School Science","Taught a non-core subject",71,2137,3.3
"2015","Middle School Science","Switcher",50,2137,2.3
"2015","Middle School Science","Exiter",175,2137,8.2
"2015","Middle School Social Studies","Same MS subject",1636,2413,67.8
"2015","Middle School Social Studies","Switched within middle school",283,2413,11.7
"2015","Middle School Social Studies","Moved to secondary",64,2413,2.7
"2015","Middle School Social Studies","Moved to elementary",79,2413,3.3
"2015","Middle School Social Studies","Taught a non-core subject",96,2413,4
"2015","Middle School Social Studies","Switcher",61,2413,2.5
"2015","Middle School Social Studies","Exiter",194,2413,8
"2016","Middle School English Language Arts","Same MS subject",1862,2600,71.6
"2016","Middle School English Language Arts","Switched within middle school",156,2600,6
"2016","Middle School English Language Arts","Moved to secondary",91,2600,3.5
"2016","Middle School English Language Arts","Moved to elementary",130,2600,5
"2016","Middle School English Language Arts","Taught a non-core subject",78,2600,3
"2016","Middle School English Language Arts","Switcher",58,2600,2.2
"2016","Middle School English Language Arts","Exiter",225,2600,8.7
"2016","Middle School Mathematics","Same MS subject",1639,2302,71.2
"2016","Middle School Mathematics","Switched within middle school",143,2302,6.2
"2016","Middle School Mathematics","Moved to secondary",91,2302,4
"2016","Middle School Mathematics","Moved to elementary",97,2302,4.2
"2016","Middle School Mathematics","Taught a non-core subject",82,2302,3.6
"2016","Middle School Mathematics","Switcher",52,2302,2.3
"2016","Middle School Mathematics","Exiter",198,2302,8.6
"2016","Middle School Science","Same MS subject",1530,2156,71
"2016","Middle School Science","Switched within middle school",177,2156,8.2
"2016","Middle School Science","Moved to secondary",62,2156,2.9
"2016","Middle School Science","Moved to elementary",90,2156,4.2
"2016","Middle School Science","Taught a non-core subject",73,2156,3.4
"2016","Middle School Science","Switcher",39,2156,1.8
"2016","Middle School Science","Exiter",185,2156,8.6
"2016","Middle School Social Studies","Same MS subject",1648,2426,67.9
"2016","Middle School Social Studies","Switched within middle school",241,2426,9.9
"2016","Middle School Social Studies","Moved to secondary",80,2426,3.3
"2016","Middle School Social Studies","Moved to elementary",107,2426,4.4
"2016","Middle School Social Studies","Taught a non-core subject",90,2426,3.7
"2016","Middle School Social Studies","Switcher",57,2426,2.3
"2016","Middle School Social Studies","Exiter",203,2426,8.4
"2017","Middle School English Language Arts","Same MS subject",1801,2528,71.2
"2017","Middle School English Language Arts","Switched within middle school",180,2528,7.1
"2017","Middle School English Language Arts","Moved to secondary",81,2528,3.2
"2017","Middle School English Language Arts","Moved to elementary",103,2528,4.1
"2017","Middle School English Language Arts","Taught a non-core subject",89,2528,3.5
"2017","Middle School English Language Arts","Switcher",60,2528,2.4
"2017","Middle School English Language Arts","Exiter",214,2528,8.5
"2017","Middle School Mathematics","Same MS subject",1616,2251,71.8
"2017","Middle School Mathematics","Switched within middle school",141,2251,6.3
"2017","Middle School Mathematics","Moved to secondary",91,2251,4
"2017","Middle School Mathematics","Moved to elementary",84,2251,3.7
"2017","Middle School Mathematics","Taught a non-core subject",71,2251,3.2
"2017","Middle School Mathematics","Switcher",56,2251,2.5
"2017","Middle School Mathematics","Exiter",192,2251,8.5
"2017","Middle School Science","Same MS subject",1498,2102,71.3
"2017","Middle School Science","Switched within middle school",190,2102,9
"2017","Middle School Science","Moved to secondary",66,2102,3.1
"2017","Middle School Science","Moved to elementary",71,2102,3.4
"2017","Middle School Science","Taught a non-core subject",74,2102,3.5
"2017","Middle School Science","Switcher",34,2102,1.6
"2017","Middle School Science","Exiter",169,2102,8
"2017","Middle School Social Studies","Same MS subject",1595,2372,67.2
"2017","Middle School Social Studies","Switched within middle school",301,2372,12.7
"2017","Middle School Social Studies","Moved to secondary",85,2372,3.6
"2017","Middle School Social Studies","Moved to elementary",83,2372,3.5
"2017","Middle School Social Studies","Taught a non-core subject",82,2372,3.5
"2017","Middle School Social Studies","Switcher",47,2372,2
"2017","Middle School Social Studies","Exiter",179,2372,7.5
