"fiscal_year","prior_subject","group","teachers_before","stayers_movers_same_subject","stayers_movers_new_subject","switchers","exiters","retention_rate_pct"
"2015","Career & Technical","Non-core",1527,1262,100,18,147,82.6
"2015","Elementary","Elementary",9980,8658,373,272,677,86.8
"2015","Fine Arts","Non-core",2256,1943,97,19,197,86.1
"2015","Foreign Language","Non-core",488,398,16,6,68,81.6
"2015","Middle School All Core","Middle",6623,5258,629,185,551,79.4
"2015","Middle School ELA","Middle",2627,1889,438,86,214,71.9
"2015","Middle School Math","Middle",2288,1627,401,73,187,71.1
"2015","Middle School Science","Middle",2137,1512,400,50,175,70.8
"2015","Middle School Social Studies","Middle",2413,1636,522,61,194,67.8
"2015","Physical Education & Health","Non-core",3542,2672,564,86,220,75.4
"2015","Secondary All Core","High",5884,4912,296,126,550,83.5
"2015","Secondary ELA","High",1781,1450,116,36,179,81.4
"2015","Secondary Math","High",1591,1279,113,39,160,80.4
"2015","Secondary Science","High",1372,1143,70,23,136,83.3
"2015","Secondary Social Studies","High",1442,1197,89,39,117,83
"2015","Special Education","Special Education",3223,2658,162,79,324,82.5
"2016","Career & Technical","Non-core",1581,1283,123,20,155,81.2
"2016","Elementary","Elementary",10114,8721,382,227,784,86.2
"2016","Fine Arts","Non-core",2361,1955,139,26,241,82.8
"2016","Foreign Language","Non-core",494,400,20,4,70,81
"2016","Middle School All Core","Middle",6681,5257,724,141,559,78.7
"2016","Middle School ELA","Middle",2600,1862,455,58,225,71.6
"2016","Middle School Math","Middle",2302,1639,413,52,198,71.2
"2016","Middle School Science","Middle",2156,1530,402,39,185,71
"2016","Middle School Social Studies","Middle",2426,1648,518,57,203,67.9
"2016","Physical Education & Health","Non-core",3663,2920,425,80,238,79.7
"2016","Secondary All Core","High",6070,5033,374,114,549,82.9
"2016","Secondary ELA","High",1852,1447,177,34,194,78.1
"2016","Secondary Math","High",1638,1325,117,36,160,80.9
"2016","Secondary Science","High",1432,1181,106,14,131,82.5
"2016","Secondary Social Studies","High",1525,1242,131,37,115,81.4
"2016","Special Education","Special Education",3374,2744,165,80,385,81.3
"2017","Career & Technical","Non-core",1546,1271,111,24,140,82.2
"2017","Elementary","Elementary",10083,8688,386,257,752,86.2
"2017","Fine Arts","Non-core",2447,2106,110,24,207,86.1
"2017","Foreign Language","Non-core",475,388,28,12,47,81.7
"2017","Middle School All Core","Middle",6548,5196,697,142,513,79.4
"2017","Middle School ELA","Middle",2528,1801,453,60,214,71.2
"2017","Middle School Math","Middle",2251,1616,387,56,192,71.8
"2017","Middle School Science","Middle",2102,1498,401,34,169,71.3
"2017","Middle School Social Studies","Middle",2372,1595,551,47,179,67.2
"2017","Physical Education & Health","Non-core",3625,2818,482,86,239,77.7
"2017","Secondary All Core","High",6055,4986,375,116,578,82.3
"2017","Secondary ELA","High",1812,1445,142,39,186,79.7
"2017","Secondary Math","High",1660,1300,153,39,168,78.3
"2017","Secondary Science","High",1440,1175,117,18,130,81.6
"2017","Secondary Social Studies","High",1526,1207,153,31,135,79.1
"2017","Special Education","Special Education",3377,2728,181,111,357,80.8
"2018","Career & Technical","Non-core",1570,1306,106,23,135,83.2
"2018","Elementary","Elementary",9993,8664,384,209,736,86.7
"2018","Fine Arts","Non-core",2523,2097,138,36,252,83.1
"2018","Foreign Language","Non-core",459,358,33,8,60,78
"2018","Middle School All Core","Middle",6476,5190,629,149,508,80.1
"2018","Middle School ELA","Middle",2453,1775,406,69,203,72.4
"2018","Middle School Math","Middle",2210,1645,358,51,156,74.4
"2018","Middle School Science","Middle",2077,1494,381,42,160,71.9
"2018","Middle School Social Studies","Middle",2289,1576,458,60,195,68.9
"2018","Physical Education & Health","Non-core",3478,2591,586,92,209,74.5
"2018","Secondary All Core","High",6018,4962,399,126,531,82.5
"2018","Secondary ELA","High",1819,1477,150,41,151,81.2
"2018","Secondary Math","High",1609,1295,139,31,144,80.5
"2018","Secondary Science","High",1419,1128,122,27,142,79.5
"2018","Secondary Social Studies","High",1506,1181,149,35,141,78.4
"2018","Special Education","Special Education",3348,2796,172,80,300,83.5
"2019","Career & Technical","Non-core",1665,1366,112,24,163,82
"2019","Elementary","Elementary",9965,8595,405,265,700,86.3
"2019","Fine Arts","Non-core",2526,2094,132,33,267,82.9
"2019","Foreign Language","Non-core",442,384,11,8,39,86.9
"2019","Middle School All Core","Middle",6614,5235,714,171,494,79.2
"2019","Middle School ELA","Middle",2467,1826,381,74,186,74
"2019","Middle School Math","Middle",2232,1667,347,56,162,74.7
"2019","Middle School Science","Middle",2107,1491,387,59,170,70.8
"2019","Middle School Social Studies","Middle",2354,1585,514,78,177,67.3
"2019","Physical Education & Health","Non-core",3239,2613,336,83,207,80.7
"2019","Secondary All Core","High",6077,5048,375,136,518,83.1
"2019","Secondary ELA","High",1848,1488,154,41,165,80.5
"2019","Secondary Math","High",1641,1330,125,39,147,81
"2019","Secondary Science","High",1449,1190,107,24,128,82.1
"2019","Secondary Social Studies","High",1541,1225,140,48,128,79.5
"2019","Special Education","Special Education",3383,2801,168,91,323,82.8
"2020","Career & Technical","Non-core",1743,1443,108,33,159,82.8
"2020","Elementary","Elementary",9874,8564,371,260,679,86.7
"2020","Fine Arts","Non-core",2538,2164,135,32,207,85.3
"2020","Foreign Language","Non-core",466,385,27,8,46,82.6
"2020","Middle School All Core","Middle",6693,5336,644,187,526,79.7
"2020","Middle School ELA","Middle",2536,1833,424,85,194,72.3
"2020","Middle School Math","Middle",2254,1682,349,65,158,74.6
"2020","Middle School Science","Middle",2131,1523,403,46,159,71.5
"2020","Middle School Social Studies","Middle",2401,1625,519,65,192,67.7
"2020","Physical Education & Health","Non-core",5471,4050,945,154,322,74
"2020","Secondary All Core","High",6122,5098,399,121,504,83.3
"2020","Secondary ELA","High",1884,1524,167,38,155,80.9
"2020","Secondary Math","High",1674,1376,123,36,139,82.2
"2020","Secondary Science","High",1496,1198,129,25,144,80.1
"2020","Secondary Social Studies","High",1526,1235,151,32,108,80.9
"2020","Special Education","Special Education",3439,2873,153,115,298,83.5
"2021","Career & Technical","Non-core",1791,1463,145,36,147,81.7
"2021","Elementary","Elementary",9766,8554,373,182,657,87.6
"2021","Fine Arts","Non-core",2564,2217,102,21,224,86.5
"2021","Foreign Language","Non-core",466,393,24,8,41,84.3
"2021","Middle School All Core","Middle",6696,5346,648,167,535,79.8
"2021","Middle School ELA","Middle",2517,1844,407,73,193,73.3
"2021","Middle School Math","Middle",2239,1663,338,56,182,74.3
"2021","Middle School Science","Middle",2161,1573,373,45,170,72.8
"2021","Middle School Social Studies","Middle",2443,1708,466,56,213,69.9
"2021","Physical Education & Health","Non-core",5770,3664,1602,147,357,63.5
"2021","Secondary All Core","High",6233,5202,384,129,518,83.5
"2021","Secondary ELA","High",1939,1547,160,52,180,79.8
"2021","Secondary Math","High",1724,1404,150,29,141,81.4
"2021","Secondary Science","High",1552,1257,124,24,147,81
"2021","Secondary Social Studies","High",1544,1226,164,37,117,79.4
"2021","Special Education","Special Education",3498,2987,133,103,275,85.4
"2022","Career & Technical","Non-core",1840,1466,146,55,173,79.7
"2022","Elementary","Elementary",9869,8319,455,454,641,84.3
"2022","Fine Arts","Non-core",2766,2290,178,67,231,82.8
"2022","Foreign Language","Non-core",478,382,41,23,32,79.9
"2022","Middle School All Core","Middle",6857,5264,792,282,519,76.8
"2022","Middle School ELA","Middle",2647,1819,505,114,209,68.7
"2022","Middle School Math","Middle",2372,1667,413,118,174,70.3
"2022","Middle School Science","Middle",2335,1551,516,97,171,66.4
"2022","Middle School Social Studies","Middle",2646,1710,622,112,202,64.6
"2022","Physical Education & Health","Non-core",5226,3768,907,235,316,72.1
"2022","Secondary All Core","High",6452,5317,474,187,474,82.4
"2022","Secondary ELA","High",2150,1686,229,84,151,78.4
"2022","Secondary Math","High",1732,1402,144,58,128,80.9
"2022","Secondary Science","High",1559,1253,151,25,130,80.4
"2022","Secondary Social Studies","High",1562,1238,171,47,106,79.3
"2022","Special Education","Special Education",3563,2937,217,145,264,82.4
"2023","Career & Technical","Non-core",2077,1630,181,64,202,78.5
"2023","Elementary","Elementary",9959,8261,493,369,836,83
"2023","Fine Arts","Non-core",2887,2288,206,73,320,79.3
"2023","Foreign Language","Non-core",484,373,44,19,48,77.1
"2023","Middle School All Core","Middle",6953,5192,873,250,638,74.7
"2023","Middle School ELA","Middle",2684,1806,515,118,245,67.3
"2023","Middle School Math","Middle",2362,1639,422,88,213,69.4
"2023","Middle School Science","Middle",2241,1483,462,70,226,66.2
"2023","Middle School Social Studies","Middle",2546,1657,574,92,223,65.1
"2023","Physical Education & Health","Non-core",5113,3895,639,226,353,76.2
"2023","Secondary All Core","High",6609,5188,505,229,687,78.5
"2023","Secondary ELA","High",2242,1654,248,98,242,73.8
"2023","Secondary Math","High",1793,1352,174,72,195,75.4
"2023","Secondary Science","High",1602,1218,154,45,185,76
"2023","Secondary Social Studies","High",1643,1238,210,57,138,75.3
"2023","Special Education","Special Education",3635,2832,202,246,355,77.9
"2024","Career & Technical","Non-core",2198,1703,180,92,223,77.5
"2024","Elementary","Elementary",9915,8322,502,300,791,83.9
"2024","Fine Arts","Non-core",2825,2340,142,60,283,82.8
"2024","Foreign Language","Non-core",453,340,34,22,57,75.1
"2024","Middle School All Core","Middle",6884,5152,821,250,661,74.8
"2024","Middle School ELA","Middle",2661,1776,507,111,267,66.7
"2024","Middle School Math","Middle",2308,1565,410,104,229,67.8
"2024","Middle School Science","Middle",2218,1463,472,72,211,66
"2024","Middle School Social Studies","Middle",2502,1571,587,104,240,62.8
